fullname,studentNumber,image,birthday,sex,section
Terry Kelly,2015-30499,http://dummyimage.com/100x100.jpg/5fa2dd/ffffff,16/02/1997,M,6-L
Mark Parker,2015-03927,http://dummyimage.com/100x100.jpg/5fa2dd/ffffff,12/08/1994,M,5-L
Victor Mitchell,2012-44122,http://dummyimage.com/100x100.jpg/5fa2dd/ffffff,13/03/1995,M,4-L
Charles Coleman,2015-62183,http://dummyimage.com/100x100.jpg/ff4444/ffffff,25/08/1994,M,6-L
Shirley Fields,2011-81846,http://dummyimage.com/100x100.jpg/dddddd/000000,02/08/1994,F,6-L
Gerald Gomez,2014-47102,http://dummyimage.com/100x100.jpg/dddddd/000000,17/08/1996,M,4-L
Wayne Richards,2015-63189,http://dummyimage.com/100x100.jpg/dddddd/000000,16/04/1997,M,6-L
Evelyn Gilbert,2015-41870,http://dummyimage.com/100x100.jpg/5fa2dd/ffffff,20/11/1998,F,5-L
Thomas Anderson,2015-84274,http://dummyimage.com/100x100.jpg/cc0000/ffffff,11/04/1994,M,4-L
Carlos Hansen,2015-77663,http://dummyimage.com/100x100.jpg/5fa2dd/ffffff,15/05/1995,M,5-L
Rose Jordan,2014-00411,http://dummyimage.com/100x100.jpg/ff4444/ffffff,26/09/1994,F,5-L
Anne Mitchell,2013-22525,http://dummyimage.com/100x100.jpg/ff4444/ffffff,13/01/1996,F,6-L
Randy Ramirez,2013-27186,http://dummyimage.com/100x100.jpg/cc0000/ffffff,04/06/1998,M,6-L
Carolyn Gray,2015-93180,http://dummyimage.com/100x100.jpg/5fa2dd/ffffff,26/11/1994,F,4-L
Julia Walker,2014-40281,http://dummyimage.com/100x100.jpg/ff4444/ffffff,26/12/1997,F,5-L
Sean White,2014-13445,http://dummyimage.com/100x100.jpg/ff4444/ffffff,18/06/1997,M,5-L
Walter Nichols,2014-28066,http://dummyimage.com/100x100.jpg/dddddd/000000,27/08/1997,M,6-L
Debra Brown,2015-24903,http://dummyimage.com/100x100.jpg/cc0000/ffffff,13/05/1996,F,6-L
Nicole Gutierrez,2015-21455,http://dummyimage.com/100x100.jpg/ff4444/ffffff,15/02/1999,F,6-L
Mark Mcdonald,2015-86410,http://dummyimage.com/100x100.jpg/5fa2dd/ffffff,27/05/1993,M,6-L
Robin Mccoy,2014-46192,http://dummyimage.com/100x100.jpg/dddddd/000000,21/03/1999,F,6-L
Tammy Graham,2015-30391,http://dummyimage.com/100x100.jpg/5fa2dd/ffffff,12/12/1993,F,3-L
Nancy Warren,2014-96345,http://dummyimage.com/100x100.jpg/dddddd/000000,27/09/1998,F,6-L
Jean Berry,2012-37927,http://dummyimage.com/100x100.jpg/dddddd/000000,09/06/1997,F,6-L
Tina Bishop,2014-44882,http://dummyimage.com/100x100.jpg/5fa2dd/ffffff,24/11/1996,F,5-L
Samuel Cole,2013-28247,http://dummyimage.com/100x100.jpg/cc0000/ffffff,03/09/1998,M,6-L
Antonio Gomez,2013-91288,http://dummyimage.com/100x100.jpg/dddddd/000000,06/05/1993,M,3-L
Louise Richardson,2015-21411,http://dummyimage.com/100x100.jpg/5fa2dd/ffffff,05/11/1996,F,3-L
Louise Henry,2015-74036,http://dummyimage.com/100x100.jpg/ff4444/ffffff,20/10/1995,F,6-L
George Larson,2013-21638,http://dummyimage.com/100x100.jpg/cc0000/ffffff,01/08/1994,M,6-L
